date,performance,accessibility,best_practices,seo
2026-06-19,55,91.09,89.36,88.36
2026-06-20,54,91.09,89.36,88.36
2026-06-21,52,100,96,92
2026-06-22,54.13,92.63,92.63,89
2026-06-23,55,100,96,92
2026-06-24,55,100,96,92
2026-06-25,55,100,96,92
2026-06-26,52.18,91.09,89.36,89.09
2026-06-27,59,100,96,92
2026-06-28,55,100,96,92
2026-06-29,56,100,96,92
2026-06-30,53,100,96,92
2026-07-01,55.83,93,89.58,89.33
2026-07-02,53.27,92.36,89,89.09
2026-07-03,57.73,92.36,89,89.09
2026-07-04,54,100,96,92
2026-07-05,55,100,96,92
2026-07-06,53,100,96,92
2026-07-07,59,100,96,92
2026-07-08,52,100,96,92
2026-07-09,51,100,96,92
2026-07-10,54.91,92.45,89,89.09
2026-07-11,50,91.89,90.44,87.56
2026-07-12,56.5,92,90.6,88
2026-07-13,54.56,92,90.6,88
2026-07-14,55.91,92.36,89,89.09
2026-07-15,59.18,92.45,89,88.36
2026-07-16,58,100,96,92
2026-07-17,53.91,92.36,89,89.09
2026-07-18,51,100,96,92
2026-07-19,0,0,0,0
