date,performance,accessibility,best_practices,seo
2026-04-30,54.91,91.09,89.36,88.36
2026-05-01,51.5,91.1,89.1,88.1
2026-05-02,53,91.1,89.1,88.9
2026-05-03,46.89,92.11,90.44,87.67
2026-05-04,44.33,92.11,90.44,87.67
2026-05-05,48,100,96,92
2026-05-06,51.9,92,90.6,88
2026-05-07,49.9,92,90.6,88
2026-05-08,51.5,92,90.6,88
2026-05-09,52,100,96,92
2026-05-10,52.2,92,90.6,88
2026-05-11,52,100,96,92
2026-05-12,49.33,92.11,90.44,87.67
2026-05-13,56,100,96,92
2026-05-14,52,100,96,92
2026-05-15,54.7,92,90.6,88
2026-05-16,54.9,92,90.6,88
2026-05-17,57,100,96,92
2026-05-18,48.22,92.11,90.44,87.67
2026-05-19,49.44,92.11,90.44,87.67
2026-05-20,51.5,92,90.6,88
2026-05-21,56,100,96,92
2026-05-22,61,100,96,92
2026-05-23,53,100,96,92
2026-05-24,56,91.45,89.36,89.09
2026-05-25,52.5,91.5,89.1,88.9
2026-05-26,49.6,91.5,89.1,88.9
2026-05-27,58,100,96,92
2026-05-28,52.18,91.09,89.36,89.09
2026-05-29,54,100,96,92
2026-05-30,0,0,0,0
