date,performance,accessibility,best_practices,seo
2026-06-11,52,100,96,92
2026-06-12,54.55,91.09,89.36,88.36
2026-06-13,58,91.09,89.36,88.36
2026-06-14,53.45,91.09,89.36,88.36
2026-06-15,56,100,96,92
2026-06-16,57.17,91,89.58,88.67
2026-06-17,57.83,91,89.58,88.67
2026-06-18,54,91.09,89.36,88.36
2026-06-19,55,91.09,89.36,88.36
2026-06-20,54,91.09,89.36,88.36
2026-06-21,52,100,96,92
2026-06-22,54.13,92.63,92.63,89
2026-06-23,55,100,96,92
2026-06-24,55,100,96,92
2026-06-25,55,100,96,92
2026-06-26,52.18,91.09,89.36,89.09
2026-06-27,59,100,96,92
2026-06-28,55,100,96,92
2026-06-29,56,100,96,92
2026-06-30,53,100,96,92
2026-07-01,55.83,93,89.58,89.33
2026-07-02,53.27,92.36,89,89.09
2026-07-03,57.73,92.36,89,89.09
2026-07-04,54,100,96,92
2026-07-05,55,100,96,92
2026-07-06,53,100,96,92
2026-07-07,59,100,96,92
2026-07-08,52,100,96,92
2026-07-09,51,100,96,92
2026-07-10,54.91,92.45,89,89.09
2026-07-11,0,0,0,0
